RA,DEC,NAME,MAGNITUDE,DIAMETER
189.448333,26.147222,PGC5628099,22.28,0.600000
189.463750,26.353056,PGC6425319,22.50,0.600000
189.470833,25.607500,PGC5627762,22.33,0.600000
189.472500,25.779722,PGC5252658,18.85,0.600000
189.476667,26.402778,PGC6425331,22.25,0.600000
189.479583,26.340556,PGC6425322,23.37,0.600000
189.480000,26.371944,PGC6425333,22.77,0.600000
189.484167,25.762500,PGC5627763,22.45,0.600000
189.487917,25.973056,PGC3792813,18.41,0.600000
189.489583,25.734167,PGC3792814,18.59,0.600000
189.491250,25.849722,PGC3792815,17.80,0.600000
189.494583,26.337500,PGC4546867,19.39,0.600000
189.501667,26.268889,PGC6425335,22.62,0.600000
189.502083,26.065833,PGC6425338,22.64,0.600000
189.502500,25.710556,PGC4334966,19.08,0.600000
189.505417,26.035833,PGC5245218,20.74,0.600000
189.507917,26.384444,PGC5624851,21.47,0.600000
189.509583,26.040000,PGC4334993,18.92,0.600000
189.512500,26.110556,PGC5245219,20.86,0.600000
189.514583,25.738333,PGC3792850,14.18K,0.600000
189.515833,25.881667,PGC5647188,21.85,0.600000
189.520000,26.334722,PGC6425336,22.82,0.600000
189.521250,25.996111,PGC4335026,19.97,0.600000
189.522917,25.606389,PGC5627764,21.19,0.600000
189.527500,26.131389,PGC5628100,20.58,0.600000
189.530000,26.316667,PGC6425334,22.81,0.600000
189.531250,26.057222,PGC1760926,18.39,0.600000
189.532083,26.055833,PGC5805482,19.74,0.600000
189.549167,25.611667,PGC5627760,21.30,0.600000
