#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
$objname;$j2000;$link[objtype,objname];$link[type,objname];$link[vel,objname];$link[distance,objname];$link[flux,objname];$link[size,objname];$link[pos,objname];$link[sigma,objname];$link[a002,objname];$link[rot,objname];$link[name,objname];$link[coor,objname];$link[a004,objname];$link[a005,objname];$link[indices,objname];$link[col,objname];$link[a003,objname];$link[a009,objname];$link[a010,objname];$link[a011,objname];$link[parent,objname];pgc
#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
SDSSJ123555.71+261444.3;J123555.7+261445;g  ;     ;       ;     ;19.46 ;      13x9;115;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333568
SDSSJ123556.03+261700.0;J123556.1+261701;g  ;     ;       ;     ;19.48 ;      14x8; 68;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333574
SDSSJ123557.37+261046.3;J123557.4+261047;G  ;     ; 143960;     ;22.07 ;      size; 61;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628094
SDSSJ123557.65+260133.2;J123557.7+260133;G  ;     ; 104877;     ;20.78 ;      size; 88;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245216
SDSSJ123557.66+261833.7;J123557.7+261834;G  ;     ;  82724;     ;20.51 ;      size; 58;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5619684
SDSSJ123559.49+255745.1;J123559.5+255745;G  ;     ; 185778;     ;24.29 ;      size; 99;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425286
PGC1773649;J123600.6+262212;G  ;     ;       ;     ;18.00 ;     16x11;164;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;1773649
SDSSJ123601.72+261449.0;J123601.7+261449;G  ;     ; 174190;     ;20.93 ;      size;169;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425288
SDSSJ123603.13+254120.8;J123603.1+254121;G  ;     ; 146694;     ;22.57 ;      size;121;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627754
SDSSJ123603.06+261306.1;J123603.1+261306;G  ;     ; 137032;     ;21.78 ;      size; 49;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5619685
SDSSJ123606.03+261131.8;J123606.1+261132;g  ;     ;       ;     ;19.36 ;      13x7;123;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333688
SDSSJ123607.35+255529.5;J123607.4+255530;G  ;     ; 184776;     ;22.92 ;      size; 82;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425292
SDSSJ123607.63+260447.7;J123607.6+260448;G  ;     ; 102645;     ;21.62 ;      size; 70;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628095
2MASXJ12360955+2548191;J123609.6+254820;G  ;     ;  39116;     ;18.46 ;     15x12;157;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792202
PGC1743029;J123610.0+253655;G  ;     ;  49925;     ;18.56 ;      15x9; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1743029
SDSSJ123611.39+255426.3;J123611.4+255427;G  ;     ; 174097;     ;21.31 ;      size;112;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425291
SDSSJ123613.15+260541.6;J123613.2+260542;G  ;     ; 174386;     ;23.05 ;      size;151;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425283
SDSSJ123613.69+254450.7;J123613.7+254451;g  ;     ;       ;     ;19.42 ;      12x8; 35;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333776
2MASXJ12361429+2550240;J123614.3+255024;G  ;     ;  52815;     ;18.92 ;      size;152;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792224
SDSSJ123614.90+261939.1;J123614.9+261940;G  ;     ;  83075;     ;20.03 ;       9x6;126;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4560836
SDSSJ123615.25+261748.4;J123615.3+261749;G  ;     ; 160413;     ;22.75 ;      size;163;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425284
SDSSJ123616.69+260006.9;J123616.7+260007;G  ;     ;   1397;     ;13.64 ;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;5064410
SDSSJ123617.23+255957.9;J123617.7+255952;G  ;SBm  ;   1397;     ;19.51 ;      size; 74;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5076050
SDSSJ123617.96+255530.8;J123618.0+255531;G  ;     ; 184966;     ;23.10 ;      size;158;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425290
SDSSJ123618.46+255425.0;J123618.5+255425;G  ;     ; 186489;     ;22.69 ;      size;168;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425244
PGC2793674;J123620.0+260502;G  ;I    ;   1175;     ;17.52 ;     36x31;121;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;Parent;2793674
NGC4565;J123620.8+255915;G  ;Sb   ;   1226;30.41;10.06 ;  1005x173;135;149;159;244;Name;Coor;IntPhot;BibKin;Mg2;Col;ApPhot;     ;     ;    ;Parent;42038
SDSSJ123621.73+254805.6;J123621.7+254806;G  ;     ; 175340;     ;22.10 ;      size;  6;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425246
SDSSJ123621.83+255855.7;J123621.8+255856;PG ;Sc   ;       ;     ;      ;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;Parent;5950826
SDSSJ123622.03+261707.8;J123622.0+261708;G  ;     ; 160389;     ;21.95 ;      size; 10;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425285
SDSSJ123622.06+262038.9;J123622.1+262039;G  ;     ; 161227;     ;22.62 ;      size;136;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425301
SDSSJ123623.80+262204.9;J123623.8+262205;g  ;     ;       ;     ;19.76 ;      10x6;127;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333871
SDSSJ123624.94+253926.6;J123624.9+253927;g  ;     ;       ;     ;19.56 ;      11x7; 63;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333880
SDSSJ123625.32+260755.9;J123625.3+260756;g  ;     ;       ;     ;19.43 ;      16x6;127;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333882
SDSSJ123626.10+261040.1;J123626.1+261040;G  ;     ;  51914;     ;19.12 ;      size;120;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245217
SDSSJ123626.88+255738.2;J123626.9+255738;G  ;     ;   1088;     ;12.62 ;      size;136;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5064422
SDSSJ123627.01+261816.2;J123627.0+261816;G  ;     ; 160161;     ;21.62 ;      size;167;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425302
SDSSJ123628.10+253857.1;J123628.1+253857;g  ;     ;       ;     ;19.46 ;      17x5; 21;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333921
SDSSJ123627.98+262334.7;J123628.0+262335;G  ;     ;  70994;     ;19.43 ;      size;110;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5624846
SDSSJ123629.60+262250.3;J123629.6+262251;G  ;     ; 166642;     ;22.70 ;      size;162;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425300
PGC1768901;J123630.1+261455;G  ;SBc  ;   6553;     ;17.60 ;     15x14; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1768901
2MASXJ12363027+2616419;J123630.3+261642;g  ;     ;       ;     ;19.07 ;      14x6;137;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3792329
IC3582;J123630.4+261201;G  ;Sab  ;   7123;     ;14.32 ;     39x19; 43;   ;   ;148;Name;Coor;IntPhot;      ;   ;Col;ApPhot;     ;     ;    ;Parent;42060
SDSSJ123630.61+253540.6;J123630.6+253541;G  ;     ;  52452;     ;19.49 ;      size; 29;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627755
SDSSJ123631.45+255857.2;J123631.5+255857;g  ;     ;       ;     ;18.53 ;      21x7;175;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333951
SDSSJ123631.85+254026.7;J123631.8+254027;g  ;     ;       ;     ;19.82 ;      10x6;124;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333954
PGC1744406;J123631.9+253904;G  ;E    ;  52438;     ;17.75 ;     19x15;113;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1744406
2MASXJ12363409+2556109;J123634.1+255611;g  ;     ;       ;     ;9.89K ;      size;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3792354
PGC1768338;J123636.9+261405;G  ;E    ;   6833;     ;16.67 ;     18x15; 54;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1768338
